phone,axes,first_with,with_without,first_without
s,Dark - Luminous,+++2.266e-09,0.2122,+++4.7e-08
s,Difficult - Easy,+++0.0002602,+++5.442e-27,+++1.053e-16
s,Evil - Benign,+++7.558e-09,+++0.0,+++3.541e-72
s,Faded - Bright,+++1.505e-07,+++6.655e-57,++0.007584
s,Feeble - Strong,+++1.219e-13,+++2.431e-08,+++3.137e-06
s,Masculine - Feminine,+++1.113e-90,+++0.0,+++4.347e-105
s,Passive - Active,+++5.151e-17,+++3.28e-127,+++0.0007555
s,Quiet - Loud,+++3.681e-12,+++0.0,+++3.582e-59
s,Rough - Tender,++0.00541,+++0.0,+++2.655e-83
s,Sad - Joyful,0.2638,+++1.731e-21,+++0.0001266
s,Short - Long,+++5.986e-25,+++7.358e-237,+++4.699e-07
s,Slow - Quick,+++6.279e-21,+++8.922e-12,+++3.138e-32
s,Small - Big,+++1.029e-24,+++0.0,+++3.302e-64
s,Smooth - Rough_or_not_smooth,0.2498,+++3.266e-07,0.05366
s,Ugly - Beautiful,+++0.0002056,+++4.768e-79,+++1.119e-07
θ,Angular - Round,+++6.406e-72,+++6.207e-98,+++1.511e-32
θ,Bad - Good,0.03644,+++6.783e-27,+++3.707e-08
θ,Cold - Hot,0.2724,+++5.484e-71,+++3.047e-11
θ,Complex - Simple,++0.001189,+++2.56e-71,++0.004391
θ,Cowardly - Brave,+++0.000325,+++7.646e-99,++0.001262
θ,Dangerous - Secure,+++1.368e-69,+++5.241e-55,+++4.741e-41
θ,Dark - Luminous,+++5.538e-31,+++1.543e-141,+++5.551e-05
